brand,product_title,asin,sell_price,list_price,discount_pct,rating,review_count,category,sentiment_score,top_pros,top_cons
Safari,Safari Quantum 4W 75cm Large Trolley,B08XYZ0001,5499,7000,21.4,4.4,2100,Trolley,81,"Smooth wheels,Solid build","Heavy when empty"
Safari,Safari Superlite 55cm Cabin Trolley,B08XYZ0002,3999,5200,23.1,4.3,3400,Trolley,78,"Lightweight,TSA lock","Limited colors"
Safari,Safari Tribe 32L Laptop Backpack,B08XYZ0003,1850,2500,26.0,4.2,1800,Backpack,74,"Padded compartments,Durable zips","Straps uncomfortable after hours"
Safari,Safari Aireon 4W 65cm Check-in,B08XYZ0004,5200,6500,20.0,4.5,2900,Trolley,84,"Spinner wheels,Great capacity","Handle slightly loose"
Skybags,Skybags Fizz 55cm Cabin Spinner,B08XYZ0005,2499,3800,34.2,4.1,4200,Trolley,70,"Trendy design,Very light","Zipper broke at 6 months"
Skybags,Skybags Rook 40L Laptop Backpack,B08XYZ0006,1299,1999,35.0,4.0,3100,Backpack,66,"Stylish,Good price","Stitching poor"
Skybags,Skybags Stratos 75cm Large Check-in,B08XYZ0007,3299,4800,31.3,4.0,2700,Trolley,68,"Good storage","Wheel scraped off"
American Tourister,American Tourister Linex 69cm Spinner,B08XYZ0008,5999,8400,28.6,4.5,6200,Trolley,85,"Premium feel,Warranty honoured","Heavy,Expensive"
American Tourister,American Tourister Airshield Pro 55cm,B08XYZ0009,4799,6500,26.2,4.4,4800,Trolley,83,"Expandable,Good handle","Buckle stiff"
American Tourister,American Tourister Urban Groove Backpack,B08XYZ0010,2499,3500,28.6,4.3,3900,Backpack,80,"Laptop sleeve excellent","Side pockets small"
VIP,VIP Skybag Stature 75cm Trolley,B08XYZ0011,3799,5500,30.9,4.1,2100,Trolley,67,"Good storage,Decent wheels","Zip stiff,Looks dated"
VIP,VIP Verve 4W 65cm Spinner,B08XYZ0012,3299,4900,32.7,3.9,1800,Trolley,62,"Classic design","Quality inconsistent"
VIP,VIP Turin Soft-Shell Duffle 55L,B08XYZ0013,1899,2800,32.1,3.8,1100,Duffle,58,"Affordable,Large capacity","Strap snaps"
Aristocrat,Aristocrat Glide 4W 75cm Check-in,B08XYZ0014,2199,3000,26.7,3.7,1500,Trolley,55,"Cheap","Handle broke at 3 months"
Aristocrat,Aristocrat LARK 55cm Cabin,B08XYZ0015,1799,2400,25.0,3.9,1200,Trolley,60,"Very affordable","Thin material"
Nasher Miles,Nasher Miles London 75cm Hard Trolley,B08XYZ0016,6999,8800,20.5,4.6,1800,Trolley,88,"Outstanding shell,Ultra-smooth wheels,Premium zips","Stock availability"
Nasher Miles,Nasher Miles Dublin 55cm Cabin Spinner,B08XYZ0017,5999,7500,20.0,4.5,1600,Trolley,86,"Elegant finish,Great locks","Pricey for India market"
Nasher Miles,Nasher Miles Berlin 65cm Check-in,B08XYZ0018,6499,8200,20.7,4.5,1400,Trolley,85,"Hard shell durable,Well-designed interior","Limited colors"
